Name;h;b;tw;tf;r;A;S;Iy;Wyel;Wypl;iy;Avz;Iz;Wzel;Wzpl;iz;Ss;It;Iw;BS235;BS355;BS460;CS235;CS355;CS460
IPE 80;0.08;0.046;0.0038;0.0052;0.005;0.00076;0.33;0.000000801;0.00002;0.0000232;0.00324;0.000358;8.49E-08;0.00000369;0.0000058;0.00105;0.0201;0.000000007;1.2E-10;1;1;0;1;1;0
IPE 100;0.1;0.055;0.0041;0.0057;0.007;0.00103;0.4;0.00000171;0.0000342;0.0000394;0.00407;0.000508;0.000000159;0.00000579;0.0000092;0.00124;0.0237;0.000000012;3.5E-10;1;1;0;1;1;0
IPE 120;0.12;0.064;0.0044;0.0063;0.007;0.00132;0.48;0.00000318;0.000053;0.0000607;0.0049;0.000631;0.000000277;0.00000865;0.0000136;0.00145;0.0252;1.74E-08;8.9E-10;1;1;0;1;1;0
IPE 140;0.14;0.073;0.0047;0.0069;0.007;0.00164;0.55;0.00000541;0.0000773;0.0000883;0.00574;0.000764;0.000000449;0.0000123;0.0000193;0.00165;0.0267;2.45E-08;1.98E-09;1;1;1;1;1;2
IPE 160;0.16;0.082;0.005;0.0074;0.009;0.00201;0.62;0.00000869;0.000109;0.000124;0.00658;0.000966;0.000000683;0.0000167;0.0000261;0.00184;0.0303;0.000000036;3.96E-09;1;1;1;1;1;2
IPE 180;0.18;0.091;0.0053;0.008;0.009;0.00239;0.7;0.00001317;0.000146;0.000166;0.00742;0.00113;0.00000101;0.0000222;0.0000346;0.00205;0.0318;4.79E-08;7.43E-09;1;1;1;1;2;3
IPE 200;0.2;0.1;0.0056;0.0085;0.012;0.00285;0.77;0.00001943;0.000194;0.000221;0.00826;0.0014;0.00000142;0.0000285;0.0000446;0.00224;0.0367;6.98E-08;0.000000013;1;1;1;1;2;3
IPE 220;0.22;0.11;0.0059;0.0092;0.012;0.00334;0.85;0.00002772;0.000252;0.000285;0.00911;0.00159;0.00000205;0.0000373;0.0000581;0.00248;0.0384;9.07E-08;2.27E-08;1;1;1;1;2;4
IPE 240;0.24;0.12;0.0062;0.0098;0.015;0.00391;0.92;0.00003892;0.000324;0.000367;0.00997;0.00191;0.00000284;0.0000473;0.0000739;0.00269;0.0434;0.000000129;3.74E-08;1;1;1;1;2;4
IPE 270;0.27;0.135;0.0066;0.0102;0.015;0.00459;1.04;0.0000579;0.000429;0.000484;0.0112;0.00221;0.0000042;0.0000622;0.000097;0.00302;0.0446;0.000000159;7.06E-08;1;1;1;2;3;4
IPE 300;0.3;0.15;0.0071;0.0107;0.015;0.00538;1.16;0.00008356;0.000557;0.000628;0.0125;0.00257;0.00000604;0.0000805;0.000125;0.00335;0.0461;0.000000201;0.000000126;1;1;1;2;4;4
IPE 330;0.33;0.16;0.0075;0.0115;0.018;0.00626;1.25;0.0001177;0.000713;0.000804;0.0137;0.00308;0.00000788;0.0000985;0.000154;0.00355;0.0516;0.000000282;0.000000199;1;1;1;2;4;4
IPE 360;0.36;0.17;0.008;0.0127;0.018;0.00727;1.35;0.0001627;0.000904;0.001019;0.015;0.00351;0.00001043;0.000123;0.000191;0.00379;0.0545;0.000000373;0.000000314;1;1;1;2;4;4
IPE 400;0.4;0.18;0.0086;0.0135;0.021;0.00845;1.47;0.0002313;0.00116;0.001307;0.0166;0.00427;0.00001318;0.000146;0.000229;0.00395;0.0602;0.000000511;0.00000049;1;1;1;3;4;4
IPE 450;0.45;0.19;0.0094;0.0146;0.021;0.00988;1.61;0.0003374;0.0015;0.001702;0.0185;0.00509;0.00001676;0.000176;0.000276;0.00412;0.0632;0.000000669;0.000000791;1;1;1;3;4;4
IPE 500;0.5;0.2;0.0102;0.016;0.021;0.01155;1.74;0.000482;0.00193;0.002194;0.0204;0.00599;0.00002142;0.000214;0.000336;0.00431;0.0668;0.000000893;0.000001249;1;1;1;3;4;4
IPE 550;0.55;0.21;0.0111;0.0172;0.024;0.01344;1.88;0.0006712;0.00244;0.002787;0.0224;0.00723;0.00002668;0.000254;0.000401;0.00445;0.0736;0.00000123;0.000001884;1;1;1;4;4;4
IPE 600;0.6;0.22;0.012;0.019;0.024;0.0156;2.02;0.0009208;0.00307;0.003512;0.0243;0.00838;0.00003387;0.000308;0.000486;0.00466;0.0781;0.00000165;0.000002846;1;1;1;4;4;4
