Name;h;b;tw;tf;r;A;S;Iy;Wyel;Wypl;iy;Avz;Iz;Wzel;Wzpl;iz;Ss;It;Iw;BS235;BS355;BS460;CS235;CS355;CS460
IPN 80;0.08;0.042;0.0039;0.0059;0.0039;0.00076;0.304;0.000000778;0.0000195;0.0000228;0.032;0.000341;0.0000000629;0.000003;0.000005;0.0091;0.0216;0.0000000087;0.00000000009;1;1;1;1;1;1
IPN 100;0.1;0.05;0.0045;0.0068;0.0045;0.00106;0.37;0.00000171;0.0000342;0.0000398;0.0401;0.000485;0.000000122;0.00000488;0.0000081;0.0107;0.025;0.000000016;0.00000000027;1;1;1;1;1;1
IPN 120;0.12;0.058;0.0051;0.0077;0.0051;0.00142;0.439;0.00000328;0.0000547;0.0000636;0.0481;0.000663;0.000000215;0.00000741;0.0000124;0.0123;0.0284;0.0000000271;0.00000000069;1;1;1;1;1;1
IPN 140;0.14;0.066;0.0057;0.0086;0.0057;0.00182;0.502;0.00000573;0.0000819;0.0000954;0.0561;0.000865;0.000000352;0.0000107;0.0000179;0.014;0.0318;0.0000000432;0.00000000154;1;1;1;1;1;1
IPN 160;0.16;0.074;0.0063;0.0095;0.0063;0.00228;0.575;0.00000935;0.000117;0.000136;0.064;0.001083;0.000000547;0.0000148;0.0000249;0.0155;0.0352;0.0000000657;0.00000000314;1;1;1;1;1;1
IPN 180;0.18;0.082;0.0069;0.0104;0.0069;0.00279;0.64;0.0000145;0.000161;0.000187;0.072;0.001335;0.000000813;0.0000198;0.0000332;0.0171;0.0386;0.0000000958;0.00000000592;1;1;1;1;1;1
IPN 200;0.2;0.09;0.0075;0.0113;0.0075;0.00334;0.709;0.0000214;0.000214;0.00025;0.08;0.001603;0.00000117;0.000026;0.0000435;0.0187;0.042;0.000000135;0.0000000105;1;1;1;1;1;1
IPN 220;0.22;0.098;0.0081;0.0122;0.0081;0.00395;0.775;0.0000306;0.000278;0.000324;0.088;0.001906;0.00000162;0.0000331;0.0000557;0.0202;0.0454;0.000000186;0.0000000178;1;1;1;1;1;1
IPN 240;0.24;0.106;0.0087;0.0131;0.0087;0.00461;0.844;0.0000425;0.000354;0.000412;0.0959;0.002233;0.00000221;0.0000417;0.00007;0.022;0.0489;0.00000025;0.0000000287;1;1;1;1;1;1
IPN 260;0.26;0.113;0.0094;0.0141;0.0094;0.00533;0.906;0.0000574;0.000442;0.000514;0.104;0.002608;0.00000288;0.000051;0.0000859;0.0232;0.0526;0.000000335;0.0000000441;1;1;1;1;1;1
IPN 280;0.28;0.119;0.0101;0.0152;0.0101;0.0061;0.966;0.0000759;0.000542;0.000632;0.111;0.003018;0.00000364;0.0000612;0.000103;0.0245;0.0564;0.000000442;0.0000000646;1;1;0;1;1;0
IPN 300;0.3;0.125;0.0108;0.0162;0.0108;0.0069;1.03;0.000098;0.000653;0.000762;0.119;0.003458;0.00000451;0.0000722;0.000121;0.0256;0.0601;0.000000568;0.0000000918;1;1;1;1;1;1
IPN 320;0.32;0.131;0.0115;0.0173;0.0115;0.00777;1.09;0.0001251;0.000782;0.000914;0.127;0.003926;0.00000555;0.0000847;0.000143;0.0267;0.0639;0.000000725;0.000000129;1;1;1;1;1;1
IPN 340;0.34;0.137;0.0122;0.0183;0.0122;0.00867;1.15;0.000157;0.000923;0.00108;0.135;0.004427;0.00000674;0.0000984;0.000166;0.028;0.0676;0.000000904;0.000000176;1;1;1;1;1;1
IPN 360;0.36;0.143;0.013;0.0195;0.013;0.0097;1.21;0.0001961;0.00109;0.001276;0.142;0.004995;0.00000818;0.000114;0.000194;0.029;0.0718;0.00000115;0.00000024;1;1;1;1;1;1
IPN 380;0.38;0.149;0.0137;0.0205;0.0137;0.0107;1.27;0.0002401;0.00126;0.001482;0.15;0.005555;0.00000975;0.000131;0.000221;0.0302;0.0754;0.00000141;0.000000319;1;1;1;1;1;1
IPN 400;0.4;0.155;0.0144;0.0216;0.0144;0.01177;1.33;0.0002921;0.00146;0.001714;0.157;0.006169;0.0000116;0.000149;0.000253;0.0313;0.0793;0.0000017;0.00000042;1;1;1;1;1;1
IPN 450;0.45;0.17;0.0162;0.0243;0.0162;0.01469;1.48;0.0004585;0.00204;0.0024;0.177;0.007779;0.0000173;0.000203;0.000345;0.0343;0.0889;0.00000267;0.000000791;1;1;1;1;1;1
IPN 500;0.5;0.185;0.018;0.027;0.018;0.01794;1.63;0.0006874;0.00275;0.00324;0.196;0.00956;0.0000248;0.000268;0.000456;0.0372;0.0985;0.00000402;0.0000014;1;1;1;1;1;1
IPN 550;0.55;0.2;0.019;0.03;0.019;0.0212;1.8;0.0009918;0.00361;0.00424;0.216;0.01113;0.0000349;0.000349;0.000592;0.0402;0.1073;0.00000544;0.00000239;1;1;1;1;1;1
IPN 600;0.6;0.215;0.0216;0.0324;0.0216;0.02537;1.92;0.00139;0.00463;0.005452;0.234;0.0138;0.0000467;0.000434;0.000752;0.043;0.1176;0.00000787;0.000003814;1;1;0;1;1;0
