Name;h;b;t;A;ct;I;i;Wel;Wpl;It;WT;As
SHS 40x3.2;0.04;0.04;0.0032;0.00046;9.5;1.020E-07;1.490E-02;5.110E-06;6.280E-06;1.650E-07;7.420E-06;1.520E-01
SHS 40x3.6;0.04;0.04;0.0036;0.00051;8.11;1.110E-07;1.470E-02;5.540E-06;6.880E-06;1.810E-07;8.010E-06;1.510E-01
SHS 40x4;0.04;0.04;0.004;0.000559;7;1.180E-07;1.450E-02;5.910E-06;7.440E-06;1.950E-07;8.540E-06;1.500E-01
SHS 40x5;0.04;0.04;0.005;0.000673;5;1.340E-07;1.410E-02;6.680E-06;8.660E-06;2.250E-07;9.600E-06;1.470E-01
SHS 40x6.3;0.04;0.04;0.0063;0.000807;3.35;1.470E-07;1.350E-02;7.340E-06;9.900E-06;2.540E-07;1.050E-05;1.440E-01
SHS 50x3.2;0.05;0.05;0.0032;0.000588;12.6;2.120E-07;1.900E-02;8.490E-06;1.020E-05;3.380E-07;1.240E-05;1.920E-01
SHS 50x3.6;0.05;0.05;0.0036;0.000654;10.9;2.320E-07;1.880E-02;9.270E-06;1.130E-05;3.720E-07;1.350E-05;1.910E-01
SHS 50x4;0.05;0.05;0.004;0.000719;9.5;2.500E-07;1.860E-02;9.990E-06;1.230E-05;4.040E-07;1.450E-05;1.900E-01
SHS 50x5;0.05;0.05;0.005;0.000873;7;2.890E-07;1.820E-02;1.160E-05;1.450E-05;4.760E-07;1.670E-05;1.870E-01
SHS 50x6.3;0.05;0.05;0.0063;0.00106;4.94;3.280E-07;1.760E-02;1.310E-05;1.700E-05;5.520E-07;1.880E-05;1.840E-01
SHS 50x8;0.05;0.05;0.008;0.00128;3.25;3.600E-07;1.680E-02;1.440E-05;1.950E-05;6.230E-07;2.060E-05;1.790E-01
SHS 60x3.2;0.06;0.06;0.0032;0.000716;15.8;3.820E-07;2.310E-02;1.270E-05;1.520E-05;6.020E-07;1.860E-05;2.320E-01
SHS 60x3.6;0.06;0.06;0.0036;0.000798;13.7;4.190E-07;2.290E-02;1.400E-05;1.680E-05;6.650E-07;2.040E-05;2.310E-01
SHS 60x4;0.06;0.06;0.004;0.000879;12;4.540E-07;2.270E-02;1.510E-05;1.830E-05;7.250E-07;2.200E-05;2.300E-01
SHS 60x5;0.06;0.06;0.005;0.00107;9;5.330E-07;2.230E-02;1.780E-05;2.190E-05;8.640E-07;2.570E-05;2.270E-01
SHS 60x6.3;0.06;0.06;0.0063;0.00131;6.52;6.160E-07;2.170E-02;2.050E-05;2.600E-05;1.020E-06;2.960E-05;2.240E-01
SHS 60x8;0.06;0.06;0.008;0.0016;4.5;6.970E-07;2.090E-02;2.320E-05;3.040E-05;1.180E-06;3.340E-05;2.190E-01
SHS 70x3.2;0.07;0.07;0.0032;0.000844;18.9;6.230E-07;2.720E-02;1.780E-05;2.100E-05;9.760E-07;2.610E-05;2.720E-01
SHS 70x3.6;0.07;0.07;0.0036;0.000942;16.4;6.860E-07;2.700E-02;1.960E-05;2.330E-05;1.080E-06;2.870E-05;2.710E-01
SHS 70x4;0.07;0.07;0.004;0.00104;14.5;7.470E-07;2.680E-02;2.130E-05;2.550E-05;1.180E-06;3.120E-05;2.700E-01
SHS 70x5;0.07;0.07;0.005;0.00127;11;8.850E-07;2.640E-02;2.530E-05;3.080E-05;1.420E-06;3.680E-05;2.670E-01
SHS 70x6.3;0.07;0.07;0.0063;0.00156;8.11;1.040E-06;2.580E-02;2.970E-05;3.690E-05;1.690E-06;4.290E-05;2.640E-01
SHS 70x8;0.07;0.07;0.008;0.00192;5.75;1.200E-06;2.500E-02;3.420E-05;4.380E-05;2.000E-06;4.920E-05;2.590E-01
