Name;h;b;tw;tf;r;A;S;Iy;Wyel;Wypl;iy;Avz;Iz;Wzel;Wzpl;iz;Ss;It;Iw;BS235;BS355;BS460;CS235;CS355;CS460
UPE 80;0.08;0.05;0.004;0.007;0.01;0.00101;0.343;0.00000107;0.0000268;0.0000312;0.0326;0.000405;0.000000255;0.000008;0.00001394;0.0159;0.0169;0.0000000147;0.00000000022;1;1;1;1;1;1
UPE 100;0.1;0.055;0.0045;0.0075;0.01;0.00125;0.402;0.00000207;0.0000414;0.000048;0.0407;0.000534;0.000000383;0.0000106;0.00001888;0.0175;0.0179;0.0000000201;0.00000000053;1;1;1;1;1;1
UPE 120;0.12;0.06;0.005;0.008;0.012;0.00154;0.46;0.00000364;0.0000606;0.0000703;0.0486;0.000718;0.000000555;0.0000138;0.0000248;0.019;0.02;0.000000029;0.00000000112;1;1;1;1;1;1
UPE 140;0.14;0.065;0.005;0.009;0.012;0.00184;0.52;0.000006;0.0000856;0.0000988;0.0571;0.000825;0.000000788;0.0000182;0.00003258;0.0207;0.021;0.0000000405;0.0000000022;1;1;1;1;1;1
UPE 160;0.16;0.07;0.0055;0.0095;0.012;0.00217;0.579;0.00000911;0.000114;0.000132;0.0648;0.001;0.00000107;0.0000226;0.00004072;0.0222;0.022;0.000000052;0.00000000396;1;1;1;1;1;1
UPE 180;0.18;0.075;0.0055;0.0105;0.012;0.00251;0.639;0.0000135;0.00015;0.000173;0.0734;0.00112;0.00000144;0.0000286;0.00005147;0.0239;0.023;0.0000000699;0.00000000681;1;1;1;1;1;2
UPE 200;0.2;0.08;0.006;0.011;0.013;0.0029;0.697;0.0000191;0.000191;0.00022;0.0811;0.00135;0.00000187;0.0000345;0.0000622;0.0254;0.0246;0.0000000889;0.000000011;1;1;1;1;1;2
UPE 220;0.22;0.085;0.0065;0.012;0.013;0.00339;0.756;0.0000268;0.000244;0.000281;0.089;0.00158;0.00000247;0.0000425;0.00007688;0.027;0.0261;0.000000121;0.0000000176;1;1;1;1;1;2
UPE 240;0.24;0.09;0.007;0.0125;0.015;0.00385;0.813;0.000036;0.0003;0.000347;0.0967;0.00188;0.00000311;0.0000501;0.00009084;0.0284;0.0283;0.000000151;0.0000000264;1;1;1;1;1;2
UPE 370;0.37;0.095;0.0075;0.0135;0.015;0.00448;0.892;0.0000525;0.000389;0.000451;0.108;0.00222;0.00000401;0.0000607;0.0001102;0.0299;0.0298;0.000000199;0.0000000436;1;1;0;1;2;0
UPE 300;0.3;0.1;0.0095;0.015;0.015;0.00566;0.968;0.0000782;0.000522;0.000613;0.118;0.00303;0.00000538;0.0000756;0.0001401;0.0308;0.0333;0.000000315;0.0000000727;1;1;0;1;1;0
UPE 330;0.33;0.105;0.011;0.016;0.018;0.00678;1.043;0.0001101;0.000667;0.000792;0.127;0.00388;0.00000681;0.0000897;0.0001617;0.0317;0.0375;0.000000452;0.000000112;1;1;0;1;1;0
UPE 360;0.36;0.11;0.012;0.017;0.018;0.00779;1.121;0.0001483;0.000824;0.000982;0.138;0.00456;0.00000844;0.000105;0.0001892;0.0329;0.0395;0.000000585;0.000000166;1;1;0;1;1;0
UPE 400;0.4;0.115;0.0135;0.018;0.018;0.00919;1.218;0.0002098;0.00105;0.00126;0.151;0.00562;0.00001045;0.000123;0.0002208;0.0337;0.042;0.000000791;0.000000259;1;1;0;1;1;0
